1; 1; Александр Пушкин Сергеевич; М; 1;      1778-05-08; 52015;   7788888888; Ауезова     10 12
1; 2; Имя  Фамилия Отчество;      М; 2;       1988-05-09; 55578;   7788888888; Алтынсарина 13 11
1; 3; Раз Два;                    Ж; 3;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 4; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 5; Раз Два;                    Ж; 3;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 6; Раз Два;                    Ж; 2;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 7; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 8; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 9; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 10; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 11; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 12; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 13; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 14; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 15; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 16; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 17; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 18; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 19; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 20; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 21; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 22; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 23; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 24; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 25; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
1; 26; Раз Два;                    Ж; 1;   1978-07-30; 654568;    77788888888; Абая        15 10
